Nom,Latitude,Longitude,Annee,Al (mg/L),Ag (mg/L),As (mg/L),Ba (mg/L),Cd (mg/L),Cr (mg/L),Co (mg/L),Cu (mg/L),Sn (mg/L),Fe (mg/L),Mn (mg/L),Hg (mg/L),Ni (mg/L),Pb (mg/L),Se (mg/L),Zn (mg/L)
S-01,46.0519,-73.1625,2015,5590, 0.5,2,85,1,17,10,22,5,9720,1550,0,14,10,0.8,69
S-02,46.0903,-73.0724,2015,5030, 0.5,2,100,1,15,10,20,5,8120,1190, 0.051,14,10,1,57
S-03,46.0838,-73.0616,2015,6300, 0.5,3,66,1,19,10,24,5,10400,696, 0.051,15,10,1,82
S-04,46.1144,-73.0386,2015,7880, 0.5,3,79,1,27,10,32,5,14800,910,0,20,10,1,91
S-05,46.1061,-73.0343,2015,8720, 0.5,4,126,1,26,15,29,5,13500,2610,0,26,10,2,117
S-06,46.1108,-72.9951,2015,10900, 0.5,4,112,1,32,12,26,5,16500,974,0,23,10,2,107
S-07,46.1271,-72.9905,2015,6300, 0.5,3,68,1,20,10,22,5,10400,732,0,15,10,1,88
S-08,46.1458,-72.9797,2015,2040, 0.5,2,57,0,10,10,20,5,3560,1580, 0.051,6,10,1,44
S-09,46.123,-73.0759,2015,5080, 0.5,2,183,1,15,10,20,5,9230,4620, 0.051,14,10,0.8,69
S-10,46.1359,-73.0465,2015,6490, 0.5,2,78,1,23,10,22,5,10500,1080,0,17,10,1,82
